ID;Ano;Sexo;Cooper_Dist;Cooper_Nota
622;1;M;2910;12,2
623;1;M;2911;12,21
624;1;M;2912;12,21
625;1;M;2913;12,22
626;1;M;2914;12,23
627;1;M;2915;12,24
628;1;M;2916;12,25
629;1;M;2917;12,26
630;1;M;2918;12,27
631;1;M;2919;12,28
632;1;M;2920;12,28
633;1;M;2921;12,29
634;1;M;2922;12,3
635;1;M;2923;12,31
636;1;M;2924;12,32
637;1;M;2925;12,33
638;1;M;2926;12,34
639;1;M;2927;12,35
640;1;M;2928;12,36
641;1;M;2929;12,37
642;1;M;2930;12,38
643;1;M;2931;12,38
644;1;M;2932;12,39
645;1;M;2933;12,39
646;1;M;2934;12,4
647;1;M;2935;12,4
648;1;M;2936;12,41
649;1;M;2937;12,41
650;1;M;2938;12,42
651;1;M;2939;12,43
652;1;M;2940;12,44
653;1;M;2941;12,45
654;1;M;2942;12,46
655;1;M;2943;12,47
656;1;M;2944;12,48
657;1;M;2945;12,48
658;1;M;2946;12,49
659;1;M;2947;12,5
660;1;M;2948;12,51
661;1;M;2949;12,52
662;1;M;2950;12,53
663;1;M;2951;12,54
664;1;M;2952;12,55
665;1;M;2953;12,56
666;1;M;2954;12,57
667;1;M;2955;12,58
668;1;M;2956;12,58
669;1;M;2957;12,59
670;1;M;2958;12,59
671;1;M;2959;12,6
672;1;M;2960;12,6
673;1;M;2961;12,61
674;1;M;2962;12,61
675;1;M;2963;12,62
676;1;M;2964;12,63
677;1;M;2965;12,64
678;1;M;2966;12,65
679;1;M;2967;12,66
680;1;M;2968;12,67
681;1;M;2969;12,68
682;1;M;2970;12,68
683;1;M;2971;12,69
684;1;M;2972;12,7
685;1;M;2973;12,71
686;1;M;2974;12,72
687;1;M;2975;12,73
688;1;M;2976;12,74
689;1;M;2977;12,75
690;1;M;2978;12,76
691;1;M;2979;12,77
692;1;M;2980;12,78
693;1;M;2981;12,79
694;1;M;2982;12,8
695;1;M;2983;12,81
696;1;M;2984;12,82
697;1;M;2985;12,83
698;1;M;2986;12,84
699;1;M;2987;12,85
700;1;M;2988;12,86
701;1;M;2989;12,87
702;1;M;2990;12,88
703;1;M;2991;12,88
704;1;M;2992;12,89
705;1;M;2993;12,89
706;1;M;2994;12,9
707;1;M;2995;12,91
708;1;M;2996;12,92
709;1;M;2997;12,93
710;1;M;2998;12,94
711;1;M;2999;12,95
712;1;M;3000;12,96
713;1;M;3001;12,97
714;1;M;3002;12,98
715;1;M;3003;12,98
716;1;M;3004;12,99
717;1;M;3005;12,99
718;1;M;3006;13
719;1;M;3007;13
720;1;M;3008;13,01
721;1;M;3009;13,02
722;1;M;3010;13,03
723;1;M;3011;13,04
724;1;M;3012;13,05
725;1;M;3013;13,06
726;1;M;3014;13,07
727;1;M;3015;13,08
728;1;M;3016;13,08
729;1;M;3017;13,09
730;1;M;3018;13,1
731;1;M;3019;13,11
732;1;M;3020;13,12
733;1;M;3021;13,13
734;1;M;3022;13,14
735;1;M;3023;13,15
736;1;M;3024;13,16
737;1;M;3025;13,17
738;1;M;3026;13,18
739;1;M;3027;13,18
740;1;M;3028;13,19
741;1;M;3029;13,2
742;1;M;3030;13,21
743;1;M;3031;13,22
744;1;M;3032;13,23
745;1;M;3033;13,24
746;1;M;3034;13,25
747;1;M;3035;13,26
748;1;M;3036;13,27
749;1;M;3037;13,28
750;1;M;3038;13,28
751;1;M;3039;13,29
752;1;M;3040;13,3
753;1;M;3041;13,31
754;1;M;3042;13,32
755;1;M;3043;13,33
756;1;M;3044;13,34
757;1;M;3045;13,35
758;1;M;3046;13,36
759;1;M;3047;13,37
760;1;M;3048;13,38
761;1;M;3049;13,38
762;1;M;3050;13,39
763;1;M;3051;13,4
764;1;M;3052;13,41
765;1;M;3053;13,42
766;1;M;3054;13,43
767;1;M;3055;13,44
768;1;M;3056;13,45
769;1;M;3057;13,46
770;1;M;3058;13,47
771;1;M;3059;13,48
772;1;M;3060;13,48
773;1;M;3061;13,49
774;1;M;3062;13,5
775;1;M;3063;13,51
776;1;M;3064;13,52
777;1;M;3065;13,53
778;1;M;3066;13,54
779;1;M;3067;13,55
780;1;M;3068;13,56
781;1;M;3069;13,57
782;1;M;3070;13,58
783;1;M;3071;13,59
784;1;M;3072;13,6
785;1;M;3073;13,61
786;1;M;3074;13,62
787;1;M;3075;13,63
788;1;M;3076;13,64
789;1;M;3077;13,65
790;1;M;3078;13,66
791;1;M;3079;13,67
792;1;M;3080;13,68
793;1;M;3081;13,69
794;1;M;3082;13,7
795;1;M;3083;13,71
796;1;M;3084;13,72
797;1;M;3085;13,73
798;1;M;3086;13,74
799;1;M;3087;13,75
800;1;M;3088;13,76
801;1;M;3089;13,77
802;1;M;3090;13,78
803;1;M;3091;13,79
804;1;M;3092;13,8
805;1;M;3093;13,81
806;1;M;3094;13,82
807;1;M;3095;13,83
808;1;M;3096;13,84
809;1;M;3097;13,85
810;1;M;3098;13,86
811;1;M;3099;13,87
812;1;M;3100;13,88
813;1;M;3101;13,89
814;1;M;3102;13,9
815;1;M;3103;13,91
816;1;M;3104;13,92
817;1;M;3105;13,93
818;1;M;3106;13,94
819;1;M;3107;13,95
820;1;M;3108;13,96
821;1;M;3109;13,97
822;1;M;3110;13,98
823;1;M;3111;13,99
824;1;M;3112;14
825;1;M;3113;14,01
826;1;M;3114;14,02
827;1;M;3115;14,03
828;1;M;3116;14,04
829;1;M;3117;14,05
830;1;M;3118;14,06
831;1;M;3119;14,07
832;1;M;3120;14,08
833;1;M;3121;14,09
834;1;M;3122;14,1
835;1;M;3123;14,11
836;1;M;3124;14,12
837;1;M;3125;14,13
838;1;M;3126;14,14
839;1;M;3127;14,15
840;1;M;3128;14,16
841;1;M;3129;14,17
842;1;M;3130;14,18
